month_date,grade,total_ecl_simple,total_balance,loan_count,ecl_rate_simple
2018-11-01,B,1161563.7538010697,314009898.5827303,56353,0.003699131011613761
2018-11-01,C,2891199.1247744514,407489554.51673037,56435,0.007095149047938962
2018-11-01,D,2600878.3797368007,242129256.02600622,28053,0.010741694012628733
2018-11-01,E,1573555.0784623919,110364887.30479746,11284,0.014257750964912106
2018-11-01,F,706515.4817652674,39819480.99302171,3353,0.017742960584772136
2018-11-01,G,325310.3641588696,16860338.920344345,1189,0.019294414287623685
2018-12-01,A,178020.03317744387,146098959.95473993,28570,0.0012184893939874233
2018-12-01,B,944078.8321665357,251686605.01323083,46030,0.0037510094433388964
2018-12-01,C,2386388.0755232805,332320144.07884103,46878,0.007180991336345604
2018-12-01,D,2186484.025015919,201471373.93771055,23681,0.010852579114747686
2018-12-01,E,1319855.9722953765,92151935.53341545,9597,0.014322607166691361
2018-12-01,F,590589.4377217874,33140052.576490883,2847,0.017821016920798242
2018-12-01,G,272964.217143318,14057655.785309905,1011,0.019417477658583912
2019-01-01,A,132858.57103910414,107985559.00774881,22157,0.001230336465911803
2019-01-01,B,722548.2431962497,189552805.64221412,36001,0.0038118572856161172
2019-01-01,C,1886123.595512561,258344756.42285323,37456,0.00730080076572328
2019-01-01,D,1749314.1100219805,159418426.72266355,19158,0.010973098568242808
2019-01-01,E,1066140.9201613746,73749050.18108383,7919,0.014456334251676004
2019-01-01,F,480083.1612534564,26822618.528569706,2350,0.017898444953914662
