month_date,ftr,grade
2017-02-01,0.019845565349448344,E
2017-03-01,0.017293605347428496,E
2017-04-01,0.022909895728939204,E
2017-05-01,0.019371812671535156,E
2017-06-01,0.023366439343161335,E
2017-07-01,0.024970079857282876,E
2017-08-01,0.023953277841538022,E
2017-09-01,0.029164602444610187,E
2017-10-01,0.025864935834141563,E
2017-11-01,0.027261022185655903,E
2017-12-01,0.02694754515375006,E
2018-01-01,0.027425127951691813,E
2018-02-01,0.03552362426104116,E
2018-03-01,0.026536371911398998,E
2018-04-01,0.03464777712839962,E
2018-05-01,0.03678970822353927,E
2018-06-01,0.04094821672490639,E
2018-07-01,0.050548602713194675,E
2018-08-01,0.057806280575907164,E
2018-09-01,0.07099662184183708,E
2018-10-01,0.06737516188302275,E
2018-11-01,0.09784648370806592,E
2018-12-01,0.05993564605167422,E
2019-01-01,0.02802234393068753,E
2019-02-01,0.03274176310922881,E
2019-03-01,0.035436511234697696,E
2019-04-01,0.05734053254955448,E
2019-05-01,,E
2019-06-01,,E
2019-07-01,,E
2019-08-01,,E
2019-09-01,,E
2019-10-01,,E
2019-11-01,,E
2019-12-01,,E
2020-01-01,,E
2020-02-01,,E
2020-03-01,,E
2020-04-01,,E
2020-05-01,,E
2020-06-01,,E
2020-07-01,,E
2020-08-01,,E
2020-09-01,,E
2020-10-01,,E
2020-11-01,,E
2020-12-01,,E
2021-01-01,,E
2021-02-01,,E
2021-03-01,,E
2021-04-01,,E
2021-05-01,,E
2021-06-01,,E
2021-07-01,,E
2021-08-01,,E
2021-09-01,,E
2021-10-01,,E
2021-11-01,,E
2021-12-01,,E
2022-01-01,,E
2022-02-01,,E
2022-03-01,,E
2022-04-01,,E
2022-05-01,,E
2022-06-01,,E
2022-07-01,,E
2022-08-01,,E
2022-09-01,,E
2022-10-01,,E
2022-11-01,,E
2022-12-01,,E
2023-01-01,,E
2023-02-01,,E
2023-03-01,,E
2023-04-01,,E
2023-05-01,,E
2023-06-01,,E
2023-07-01,,E
2023-08-01,,E
2023-09-01,,E
2023-10-01,,E
2007-08-01,,F
2007-09-01,,F
2007-10-01,,F
2007-11-01,,F
2007-12-01,,F
2008-01-01,,F
2008-02-01,,F
2008-03-01,,F
2008-04-01,,F
2008-05-01,,F
2008-06-01,,F
2008-07-01,,F
2008-08-01,,F
2008-09-01,,F
2008-10-01,,F
2008-11-01,,F
2008-12-01,,F
2009-01-01,,F
2009-02-01,,F
2009-03-01,0.0072062630985743805,F
2009-04-01,,F
2009-05-01,,F
2009-06-01,0.018283463445369363,F
2009-07-01,0.021694817251444957,F
2009-08-01,,F
2009-09-01,0.055052668269890685,F
2009-10-01,0.01752128302815984,F
2009-11-01,,F
2009-12-01,,F
2010-01-01,,F
2010-02-01,0.011297202756378593,F
2010-03-01,0.003508608441423148,F
2010-04-01,0.018535968957931068,F
2010-05-01,,F
2010-06-01,,F
2010-07-01,0.0056508069935456064,F
2010-08-01,0.013651013559389307,F
2010-09-01,0.006988982302429202,F
2010-10-01,,F
2010-11-01,,F
2010-12-01,0.008722840247890006,F
2011-01-01,0.0033816388911101537,F
2011-02-01,,F
2011-03-01,0.0021197708426940703,F
2011-04-01,0.002328812070027787,F
2011-05-01,0.001010155236462143,F
2011-06-01,0.004948777409369584,F
2011-07-01,0.004754268046503719,F
2011-08-01,0.00578098238771844,F
2011-09-01,0.0056379955427760834,F
2011-10-01,0.006454573652489275,F
2011-11-01,0.011182394511482351,F
2011-12-01,0.005918595024840777,F
2012-01-01,0.0011737710158106146,F
2012-02-01,0.006971423315007239,F
2012-03-01,0.01062994809853882,F
2012-04-01,0.003731045259681325,F
2012-05-01,0.010907350300334238,F
2012-06-01,0.009931692136815535,F
2012-07-01,0.01084168428032861,F
2012-08-01,0.00590321080834783,F
2012-09-01,0.008115793689294874,F
2012-10-01,0.008512792435269543,F
2012-11-01,0.011582573172140221,F
2012-12-01,0.0060767427682825925,F
2013-01-01,0.0045458065940592466,F
2013-02-01,0.006796728035257518,F
2013-03-01,0.004254390741846629,F
2013-04-01,0.010931823567553864,F
2013-05-01,0.008068674922485428,F
2013-06-01,0.00557599378586073,F
2013-07-01,0.006042375966965442,F
2013-08-01,0.009415304311396373,F
2013-09-01,0.007935338329997698,F
2013-10-01,0.006868178705085435,F
2013-11-01,0.00930838200828324,F
2013-12-01,0.007042142230135027,F
2014-01-01,0.0054891490367827075,F
2014-02-01,0.009867893441770447,F
2014-03-01,0.007640824878688733,F
2014-04-01,0.00796029453372327,F
2014-05-01,0.01100693954547072,F
2014-06-01,0.011137041122486136,F
2014-07-01,0.013308917690976686,F
2014-08-01,0.010765178175634937,F
2014-09-01,0.014466121315237898,F
2014-10-01,0.012622506314493988,F
2014-11-01,0.013296973118653615,F
2014-12-01,0.008485781521300912,F
2015-01-01,0.01065805759322394,F
2015-02-01,0.009920379912715806,F
2015-03-01,0.009482388681338234,F
2015-04-01,0.012439853682992835,F
2015-05-01,0.012201939357655841,F
2015-06-01,0.011713442739261054,F
